               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.026141,            0.012422,           0.0015714,             0.89829,             0.90976,             0.93872,             0.63502,            0.034031,           0.0069335,            0.003067,            0.005842,            0.005842,            0.005842
                  86,            0.026149,            0.012502,            0.001215,             0.90802,             0.88107,             0.94115,             0.63351,            0.033233,           0.0069996,           0.0026099,           0.0057925,           0.0057925,           0.0057925
                  87,            0.026144,            0.011754,           0.0011598,             0.88413,             0.90482,             0.93495,             0.62199,            0.033396,           0.0071659,           0.0027572,            0.005743,            0.005743,            0.005743
                  88,            0.026279,            0.012024,            0.001563,             0.85788,             0.90385,             0.92224,             0.63238,            0.033099,           0.0070824,           0.0031765,           0.0056935,           0.0056935,           0.0056935
                  89,            0.025661,            0.012215,           0.0011993,             0.91266,             0.86932,             0.92836,             0.62786,            0.032043,           0.0067749,           0.0032515,            0.005644,            0.005644,            0.005644
                  90,            0.025983,             0.01229,           0.0011319,             0.92302,             0.87702,             0.92824,             0.63186,            0.033036,           0.0069931,           0.0030705,           0.0055945,           0.0055945,           0.0055945
                  91,            0.025733,            0.012101,           0.0013249,             0.88481,             0.90699,             0.92237,             0.62179,            0.033482,           0.0069114,           0.0036523,            0.005545,            0.005545,            0.005545
                  92,            0.025386,            0.011873,           0.0011525,             0.92748,             0.86305,             0.92656,             0.63168,            0.033461,           0.0070494,           0.0028864,           0.0054955,           0.0054955,           0.0054955
                  93,            0.025147,            0.011997,           0.0013879,             0.89007,             0.86779,             0.91319,             0.60847,            0.034189,           0.0071261,            0.002151,            0.005446,            0.005446,            0.005446
                  94,            0.025298,            0.012276,           0.0012323,             0.91545,             0.87142,             0.92286,              0.6232,            0.033767,           0.0071414,           0.0017909,           0.0053965,           0.0053965,           0.0053965
                  95,            0.024924,            0.011857,           0.0010957,             0.88046,             0.88329,             0.91757,             0.62068,            0.033103,           0.0071527,           0.0020935,            0.005347,            0.005347,            0.005347
                  96,            0.025182,            0.011881,           0.0012304,             0.92238,             0.90534,             0.93683,              0.6432,            0.033741,           0.0070006,           0.0016412,           0.0052975,           0.0052975,           0.0052975
                  97,             0.02445,            0.011733,           0.0012185,             0.91601,             0.89481,             0.93635,             0.63802,             0.03354,           0.0070492,           0.0016075,            0.005248,            0.005248,            0.005248
                  98,             0.02466,            0.011866,           0.0011206,             0.90828,             0.89531,              0.9305,             0.62156,             0.03391,           0.0071982,            0.001938,           0.0051985,           0.0051985,           0.0051985
                  99,            0.024811,            0.011816,            0.001123,             0.89254,             0.88563,             0.92681,             0.63285,            0.032916,           0.0069296,           0.0022667,            0.005149,            0.005149,            0.005149
                 100,            0.024893,            0.011696,           0.0012741,              0.9155,             0.90039,             0.93928,             0.63832,            0.032989,           0.0070226,           0.0020928,           0.0050995,           0.0050995,           0.0050995
                 101,            0.024377,            0.011437,           0.0010745,              0.9316,             0.86709,             0.92609,             0.62609,            0.033478,           0.0072598,           0.0021348,             0.00505,             0.00505,             0.00505
                 102,             0.02515,            0.011827,           0.0010591,             0.90181,             0.89716,             0.93674,             0.62469,            0.033227,           0.0072699,           0.0020941,           0.0050005,           0.0050005,           0.0050005
                 103,            0.025063,            0.011791,           0.0012613,             0.91208,             0.87647,             0.92509,             0.63105,            0.032997,           0.0069486,            0.003608,            0.004951,            0.004951,            0.004951
                 104,            0.024736,            0.011847,           0.0012501,              0.9419,             0.88256,             0.92921,             0.62703,            0.033938,           0.0070748,           0.0029265,           0.0049015,           0.0049015,           0.0049015
                 105,            0.024585,            0.011586,           0.0012913,             0.91575,             0.88195,             0.92933,             0.62135,            0.032659,           0.0071305,            0.002365,            0.004852,            0.004852,            0.004852
                 106,            0.024317,            0.011463,           0.0011271,              0.9395,             0.88637,             0.93423,             0.62258,            0.033488,           0.0070873,           0.0015742,           0.0048025,           0.0048025,           0.0048025
                 107,            0.024072,            0.011736,           0.0012445,             0.91173,             0.91969,             0.94126,              0.6429,            0.033483,           0.0070127,           0.0020842,            0.004753,            0.004753,            0.004753
                 108,            0.023838,            0.011711,            0.001106,             0.92173,             0.88682,             0.93062,             0.64089,            0.033842,           0.0070429,           0.0024604,           0.0047035,           0.0047035,           0.0047035
                 109,            0.025094,            0.011825,           0.0011818,             0.93678,             0.84482,             0.92813,             0.63352,             0.03273,           0.0070808,            0.001538,            0.004654,            0.004654,            0.004654
                 110,            0.023896,            0.011814,           0.0010359,             0.92095,             0.86854,             0.93015,             0.64133,            0.033634,           0.0070887,           0.0037589,           0.0046045,           0.0046045,           0.0046045
                 111,            0.023904,            0.011227,           0.0012553,             0.92212,             0.90011,             0.93637,             0.64106,            0.031842,            0.006983,           0.0018488,            0.004555,            0.004555,            0.004555
                 112,            0.024426,            0.011309,           0.0010599,             0.92495,             0.84983,             0.91712,             0.62385,            0.032527,           0.0072528,            0.002075,           0.0045055,           0.0045055,           0.0045055
                 113,            0.023309,            0.011168,           0.0010057,             0.89575,              0.8766,             0.91975,             0.63364,            0.032703,           0.0072212,           0.0024205,            0.004456,            0.004456,            0.004456
                 114,            0.023907,            0.012017,          0.00096637,             0.88916,             0.89526,              0.9224,              0.6302,            0.033007,           0.0072064,            0.002816,           0.0044065,           0.0044065,           0.0044065
                 115,            0.022884,            0.010909,           0.0010898,             0.91749,             0.88687,             0.92614,             0.63789,            0.033045,           0.0071107,           0.0023207,            0.004357,            0.004357,            0.004357
                 116,            0.023761,            0.011475,           0.0010321,             0.90284,             0.88832,             0.92454,             0.63349,            0.034061,           0.0071532,           0.0037323,           0.0043075,           0.0043075,           0.0043075
                 117,             0.02369,            0.011125,           0.0013487,             0.91249,             0.89713,             0.92894,             0.62732,            0.034681,            0.007259,           0.0039313,            0.004258,            0.004258,            0.004258
                 118,            0.023402,            0.011188,           0.0011767,             0.90952,             0.89238,              0.9283,             0.63122,            0.033557,           0.0073686,           0.0030829,           0.0042085,           0.0042085,           0.0042085
                 119,            0.023765,            0.011005,           0.0010792,             0.91025,             0.89504,             0.92478,             0.61982,            0.034842,           0.0072215,           0.0027772,            0.004159,            0.004159,            0.004159
                 120,            0.023537,            0.011305,           0.0010092,             0.87638,             0.88613,             0.91579,             0.61537,            0.033825,           0.0072471,           0.0038541,           0.0041095,           0.0041095,           0.0041095
                 121,            0.022939,            0.010956,           0.0011782,             0.92319,             0.88813,             0.92917,             0.63623,             0.03314,           0.0071841,           0.0030823,             0.00406,             0.00406,             0.00406
                 122,            0.022627,            0.011115,            0.001013,             0.91101,             0.88685,             0.92986,              0.6328,             0.03417,           0.0071669,            0.003288,           0.0040105,           0.0040105,           0.0040105
                 123,            0.022993,            0.011098,          0.00096812,             0.91026,             0.89249,             0.92612,             0.63052,            0.033892,           0.0071235,           0.0029448,            0.003961,            0.003961,            0.003961
                 124,            0.022952,            0.011166,           0.0011008,             0.91714,             0.89605,             0.93891,             0.63194,            0.033249,           0.0071046,           0.0028187,           0.0039115,           0.0039115,           0.0039115
                 125,            0.023144,            0.011185,          0.00095782,             0.90526,             0.89015,              0.9271,             0.63614,            0.033119,           0.0073918,           0.0027257,            0.003862,            0.003862,            0.003862
                 126,            0.023009,            0.011012,          0.00090021,             0.90238,             0.89353,             0.92847,             0.63592,            0.033082,           0.0073243,           0.0028967,           0.0038125,           0.0038125,           0.0038125
                 127,            0.022244,            0.010753,           0.0009348,             0.91308,             0.88662,             0.92096,             0.62812,            0.033078,           0.0071451,           0.0025376,            0.003763,            0.003763,            0.003763
                 128,            0.022916,            0.011043,          0.00099998,             0.91184,             0.88204,             0.92133,              0.6268,            0.033727,           0.0072071,            0.002722,           0.0037135,           0.0037135,           0.0037135
                 129,            0.022056,            0.010815,           0.0010829,             0.92358,              0.8726,             0.92556,             0.62691,            0.033938,           0.0072561,           0.0031564,            0.003664,            0.003664,            0.003664
                 130,            0.022288,            0.010884,           0.0010376,             0.89105,             0.88021,             0.91661,             0.61568,             0.03443,           0.0075836,           0.0030315,           0.0036145,           0.0036145,           0.0036145
                 131,            0.022733,            0.011112,           0.0010454,             0.93171,              0.8735,             0.92236,              0.6286,            0.033507,           0.0074095,           0.0028941,            0.003565,            0.003565,            0.003565
                 132,            0.022139,            0.010994,          0.00093449,             0.91323,             0.89832,             0.92867,             0.64164,            0.033047,           0.0072982,           0.0021175,           0.0035155,           0.0035155,           0.0035155
                 133,            0.022048,            0.010754,          0.00084622,             0.88655,             0.88021,             0.90814,              0.6183,            0.035423,           0.0074144,           0.0032738,            0.003466,            0.003466,            0.003466
                 134,            0.022262,            0.010829,          0.00081302,             0.89864,             0.89295,             0.92475,             0.64025,            0.033736,           0.0071932,           0.0036332,           0.0034165,           0.0034165,           0.0034165
                 135,            0.022457,            0.010694,           0.0008169,               0.906,             0.89413,             0.92806,             0.64162,            0.032711,            0.007229,            0.002562,            0.003367,            0.003367,            0.003367
                 136,            0.021929,            0.010554,          0.00076394,             0.90065,             0.89936,             0.92518,             0.63771,            0.034069,            0.007374,           0.0030156,           0.0033175,           0.0033175,           0.0033175
                 137,            0.022064,            0.010868,          0.00077835,             0.91605,             0.87701,             0.92224,             0.63608,            0.033588,           0.0074004,           0.0026644,            0.003268,            0.003268,            0.003268
                 138,            0.021683,            0.010838,          0.00077642,             0.92017,             0.87688,             0.92076,             0.63589,            0.033675,           0.0074197,           0.0030511,           0.0032185,           0.0032185,           0.0032185
                 139,             0.02131,            0.010598,          0.00073886,             0.90406,             0.90318,              0.9372,               0.637,            0.033077,           0.0072428,           0.0027084,            0.003169,            0.003169,            0.003169
                 140,            0.021984,            0.010975,          0.00083377,             0.92575,             0.87873,             0.93432,             0.64576,            0.033498,           0.0072744,           0.0026854,           0.0031195,           0.0031195,           0.0031195
                 141,             0.02157,            0.010952,          0.00087157,             0.91577,             0.86951,             0.92678,             0.63847,            0.033562,           0.0076059,           0.0027703,             0.00307,             0.00307,             0.00307
